poverty,religion,degree,country,age,gender
Too Much,yes,no,Australia,68,female
Too Little,yes,no,Australia,30,male
Too Little,yes,no,Australia,47,male
About Right,yes,no,Australia,43,female
About Right,yes,no,Australia,35,female
About Right,yes,no,Australia,47,male
About Right,yes,no,Australia,30,female
Too Little,yes,no,Australia,81,male
Too Little,yes,no,Australia,54,female
Too Much,yes,no,Australia,43,female
About Right,no,no,Australia,68,female
About Right,yes,no,Australia,62,female
About Right,yes,no,Australia,73,female
Too Little,yes,no,Australia,23,male
About Right,yes,no,Australia,73,male
Too Little,yes,no,Australia,42,male
Too Little,yes,no,Australia,21,female
About Right,yes,no,Australia,77,female
About Right,yes,no,Australia,21,female
Too Little,yes,no,Australia,38,male
Too Much,yes,no,Australia,66,female
Too Little,yes,no,Australia,62,female
Too Little,no,no,Australia,28,male
Too Little,yes,no,Australia,47,female
About Right,yes,no,Australia,44,male
Too Little,yes,no,Australia,34,male
Too Little,yes,no,Australia,29,female
Too Much,yes,no,Australia,29,female
About Right,yes,no,Australia,35,female
Too Much,yes,no,Australia,51,male
Too Little,no,yes,Australia,41,female
About Right,yes,no,Australia,74,female
About Right,yes,no,Australia,46,male
Too Little,no,no,Australia,34,male
Too Much,yes,no,Australia,61,female
Too Little,yes,no,Australia,64,male
Too Little,yes,yes,Australia,23,female
Too Little,yes,no,Australia,29,female
About Right,no,no,Australia,37,female
Too Little,yes,no,Australia,27,female
Too Much,yes,no,Australia,48,male
Too Much,yes,no,Australia,46,male
Too Little,yes,no,Australia,42,female
About Right,yes,no,Australia,44,female
Too Little,no,no,Australia,24,male
Too Much,yes,no,Australia,27,female
About Right,no,yes,Australia,21,male
Too Little,yes,no,Australia,41,female
Too Little,yes,no,Australia,56,female
Too Little,yes,no,Australia,35,female
Too Little,yes,no,Australia,52,male
Too Little,no,no,Australia,22,male
Too Little,yes,no,Australia,22,male
Too Little,yes,no,Australia,32,female
Too Little,no,no,Australia,58,female
Too Little,yes,no,Australia,40,male
Too Little,yes,no,Australia,63,female
Too Little,yes,no,Australia,21,female
Too Little,no,no,Australia,23,male
Too Little,no,yes,Australia,22,male
Too Little,yes,no,Australia,60,male
About Right,no,no,Australia,43,female
Too Little,yes,no,Australia,56,female
About Right,yes,yes,Australia,48,female
About Right,yes,no,Australia,64,male
About Right,yes,no,Australia,22,male
About Right,yes,no,Australia,41,female
About Right,yes,no,Australia,82,female
Too Little,yes,no,Australia,30,female
Too Little,yes,no,Australia,25,male
Too Much,yes,no,Australia,54,male
Too Little,yes,no,Australia,72,male
About Right,yes,no,Australia,38,female
Too Little,yes,no,Australia,46,male
Too Little,yes,no,Australia,73,male
Too Little,no,no,Australia,53,female
Too Little,yes,no,Australia,48,male
Too Little,yes,no,Australia,62,male
Too Little,yes,no,Australia,35,female
Too Little,yes,no,Australia,32,female
About Right,yes,no,Australia,35,male
Too Much,yes,no,Australia,65,male
Too Little,yes,no,Australia,56,male
Too Little,no,no,Australia,24,female
About Right,yes,no,Australia,61,female
Too Little,no,no,Australia,30,female
About Right,yes,no,Australia,21,female
Too Little,no,no,Australia,36,male
About Right,no,no,Australia,25,male
About Right,yes,no,Australia,50,male
Too Little,yes,no,Australia,86,female
Too Little,yes,no,Australia,62,male
About Right,yes,no,Australia,49,male
About Right,yes,no,Australia,54,male
Too Much,yes,no,Australia,73,male
About Right,yes,no,Australia,27,female
Too Little,yes,no,Australia,40,female
Too Little,yes,no,Australia,58,female
Too Little,yes,no,Australia,40,male
About Right,yes,no,Australia,52,female
About Right,yes,no,Australia,27,female
Too Little,yes,no,Australia,66,male
Too Little,yes,no,Australia,61,female
Too Little,yes,no,Australia,49,male
Too Little,yes,no,Australia,27,female
About Right,yes,no,Australia,50,female
Too Little,yes,no,Australia,29,female
Too Little,yes,no,Australia,22,male
Too Little,yes,no,Australia,34,male
Too Little,yes,no,Australia,54,male
Too Little,yes,no,Australia,80,male
About Right,yes,no,Australia,75,male
Too Little,yes,yes,Australia,67,female
About Right,yes,no,Australia,42,female
About Right,no,no,Australia,79,male
Too Much,yes,no,Australia,40,male
Too Little,yes,no,Australia,35,female
Too Little,yes,no,Australia,55,female
Too Much,yes,no,Australia,51,male
Too Little,yes,no,Australia,54,male
About Right,yes,no,Australia,43,male
About Right,yes,no,Australia,46,female
Too Much,yes,no,Australia,71,female
Too Little,yes,no,Australia,40,male
Too Little,yes,no,Australia,33,female
Too Much,yes,no,Australia,48,male
Too Little,yes,no,Australia,31,female
About Right,yes,no,Australia,36,male
About Right,yes,no,Australia,36,female
Too Little,yes,no,Australia,27,male
Too Little,yes,no,Australia,62,male
Too Little,yes,no,Australia,38,female
Too Little,yes,no,Australia,60,male
Too Little,yes,no,Australia,28,male
Too Little,yes,no,Australia,31,female
About Right,yes,no,Australia,43,female
Too Little,yes,no,Australia,38,female
About Right,yes,no,Australia,36,male
About Right,yes,no,Australia,69,male
Too Little,yes,no,Australia,23,female
Too Little,yes,no,Australia,33,female
Too Little,yes,no,Australia,18,male
Too Little,yes,no,Australia,35,female
Too Little,yes,no,Australia,41,male
Too Little,yes,yes,Australia,44,female
Too Little,yes,no,Australia,66,male
Too Little,yes,no,Australia,35,female
Too Little,no,no,Australia,43,male
About Right,no,no,Australia,49,male
Too Little,no,no,Australia,33,male
Too Little,yes,no,Australia,55,female
Too Much,no,no,Australia,41,male
Too Little,no,no,Australia,45,female
Too Little,no,no,Australia,31,male
Too Much,yes,no,Australia,53,female
About Right,yes,no,Australia,43,female
Too Little,yes,no,Australia,19,female
About Right,yes,no,Australia,56,male
About Right,yes,no,Australia,51,female
Too Much,yes,no,Australia,42,male
About Right,yes,no,Australia,62,male
Too Little,yes,no,Australia,35,female
About Right,no,no,Australia,43,male
About Right,yes,no,Australia,42,female
About Right,yes,no,Australia,44,male
Too Little,yes,no,Australia,39,male
Too Much,yes,no,Australia,56,male
About Right,yes,no,Australia,54,male
Too Little,yes,no,Australia,52,female
Too Little,yes,no,Australia,30,female
About Right,yes,no,Australia,40,female
About Right,yes,no,Australia,26,female
About Right,yes,no,Australia,40,female
Too Much,yes,no,Australia,18,female
Too Much,yes,no,Australia,42,female
Too Little,yes,no,Australia,21,male
Too Much,yes,no,Australia,39,female
Too Little,yes,no,Australia,66,male
Too Little,yes,no,Australia,68,female
About Right,yes,no,Australia,46,male
Too Little,yes,no,Australia,74,male
Too Much,yes,no,Australia,46,female
Too Little,yes,no,Australia,43,male
Too Little,no,no,Australia,32,male
Too Little,yes,no,Australia,29,male
Too Little,yes,no,Australia,44,female
Too Much,yes,no,Australia,77,female
Too Little,yes,no,Australia,36,female
Too Little,yes,no,Australia,72,male
About Right,yes,no,Australia,27,male
Too Little,yes,no,Australia,23,female
Too Little,yes,no,Australia,57,male
Too Little,yes,yes,Australia,23,female
Too Little,yes,no,Australia,50,male
About Right,yes,no,Australia,73,female
Too Little,yes,no,Australia,60,female
Too Little,yes,no,Australia,22,male
About Right,yes,no,Australia,26,male
Too Little,no,no,Australia,38,female
About Right,yes,no,Australia,31,male
Too Much,yes,no,Australia,59,female
Too Little,yes,no,Australia,29,male
Too Little,yes,no,Australia,63,male
Too Little,yes,no,Australia,23,female
Too Little,yes,no,Australia,24,female
Too Little,yes,no,Australia,66,male
Too Little,yes,no,Australia,58,male
Too Little,yes,no,Australia,35,male
Too Much,yes,no,Australia,33,female
About Right,yes,no,Australia,70,female
Too Much,yes,no,Australia,91,male
Too Little,yes,no,Australia,46,male
Too Little,yes,no,Australia,49,male
Too Little,yes,no,Australia,24,female
Too Little,yes,no,Australia,40,male
Too Little,yes,no,Australia,54,female
Too Much,no,no,Australia,45,male
Too Much,yes,no,Australia,55,female
Too Little,yes,no,Australia,73,female
About Right,yes,no,Australia,31,male
Too Little,yes,no,Australia,29,male
Too Little,no,no,Australia,34,male
About Right,yes,no,Australia,51,female
Too Little,yes,no,Australia,30,male
Too Little,yes,no,Australia,25,female
Too Little,no,no,Australia,24,male
Too Much,yes,no,Australia,67,female
Too Little,yes,no,Australia,51,male
Too Little,yes,no,Australia,43,female
Too Little,yes,no,Australia,53,male
Too Little,yes,no,Australia,27,female
Too Much,yes,no,Australia,42,female
About Right,yes,no,Australia,28,female
Too Much,yes,no,Australia,73,female
Too Little,no,yes,Australia,39,male
Too Little,yes,no,Australia,67,male
About Right,yes,no,Australia,62,female
Too Little,yes,no,Australia,76,male
Too Little,no,no,Australia,30,female
Too Little,yes,no,Australia,37,female
About Right,yes,no,Australia,22,male
Too Little,yes,no,Australia,18,female
Too Little,yes,yes,Australia,26,female
Too Little,yes,no,Australia,49,female
Too Little,yes,no,Australia,29,male
Too Much,yes,no,Australia,38,male
Too Little,yes,no,Australia,22,male
About Right,yes,no,Australia,69,male
About Right,yes,no,Australia,52,male
About Right,no,no,Australia,23,female
Too Much,yes,no,Australia,80,female
Too Much,yes,no,Australia,76,female
About Right,no,no,Australia,51,male
Too Little,yes,no,Australia,18,female
About Right,yes,yes,Australia,45,female
About Right,yes,no,Australia,59,female
Too Little,yes,no,Australia,29,male
About Right,yes,no,Australia,81,male
Too Little,yes,no,Australia,48,female
About Right,no,no,Australia,32,male
About Right,no,no,Australia,31,female
About Right,yes,no,Australia,59,female
About Right,yes,no,Australia,53,male
About Right,yes,no,Australia,28,female
Too Little,no,no,Australia,45,male
About Right,yes,no,Australia,70,male
Too Little,yes,no,Australia,45,female
About Right,yes,no,Australia,47,female
Too Little,yes,no,Australia,53,female
Too Little,yes,no,Australia,84,male
Too Much,yes,no,Australia,70,male
About Right,yes,no,Australia,73,female
Too Little,yes,no,Australia,23,female
About Right,no,no,Australia,30,male
Too Much,yes,no,Australia,71,female
Too Much,yes,no,Australia,62,female
Too Little,yes,no,Australia,72,female
Too Much,yes,no,Australia,41,female
About Right,yes,no,Australia,30,female
About Right,yes,no,Australia,67,male
Too Little,yes,no,Australia,79,female
Too Little,yes,no,Australia,28,female
Too Much,yes,no,Australia,33,male
About Right,yes,no,Australia,76,male
Too Little,yes,no,Australia,39,female
Too Much,yes,no,Australia,36,male
Too Much,yes,no,Australia,37,female
About Right,yes,yes,Australia,55,female
Too Little,yes,no,Australia,54,female
About Right,no,no,Australia,65,female
Too Much,yes,no,Australia,72,male
Too Little,yes,no,Australia,32,female
Too Little,yes,no,Australia,53,male
About Right,yes,no,Australia,25,female
About Right,yes,no,Australia,61,male
Too Little,yes,no,Australia,74,male
Too Much,yes,no,Australia,67,female
Too Little,yes,no,Australia,47,male
Too Little,yes,no,Australia,75,female
Too Much,yes,no,Australia,46,male
About Right,yes,no,Australia,58,female
Too Little,yes,no,Australia,25,male
Too Little,yes,no,Australia,41,male
Too Little,yes,no,Australia,37,male
About Right,yes,no,Australia,72,male
About Right,yes,no,Australia,67,female
About Right,yes,yes,Australia,48,male
Too Little,yes,no,Australia,30,male
Too Little,yes,no,Australia,72,female
Too Little,yes,no,Australia,52,male
Too Little,yes,no,Australia,18,male
Too Little,yes,no,Australia,40,male
Too Little,yes,no,Australia,84,male
Too Little,yes,no,Australia,80,female
Too Much,yes,no,Australia,64,female
About Right,yes,no,Australia,23,male
About Right,yes,no,Australia,21,female
Too Little,no,no,Australia,50,male
About Right,no,no,Australia,87,male
Too Little,no,no,Australia,25,female
About Right,yes,no,Australia,65,male
Too Little,yes,no,Australia,27,female
Too Little,no,no,Australia,25,female
About Right,yes,no,Australia,25,female
Too Little,yes,no,Australia,53,female
Too Little,yes,no,Australia,48,female
Too Little,yes,no,Australia,73,female
Too Much,no,yes,Australia,33,female
Too Little,no,no,Australia,49,male
Too Little,no,no,Australia,38,male
About Right,yes,no,Australia,36,male
Too Little,no,no,Australia,23,female
Too Little,yes,yes,Australia,31,female
Too Little,no,no,Australia,32,male
Too Little,yes,no,Australia,33,female
About Right,no,no,Australia,27,male
About Right,yes,no,Australia,24,male
Too Little,no,no,Australia,47,male
Too Little,yes,yes,Australia,34,male
About Right,no,no,Australia,45,female
Too Little,yes,no,Australia,43,female
Too Little,yes,no,Australia,49,male
Too Little,yes,yes,Australia,33,female
Too Little,no,no,Australia,20,male
Too Much,yes,no,Australia,42,female
Too Little,no,no,Australia,18,female
About Right,yes,no,Australia,77,male
About Right,yes,no,Australia,64,female
Too Little,yes,no,Australia,30,female
Too Much,yes,no,Australia,43,male
Too Little,yes,no,Australia,28,male
Too Little,no,no,Australia,18,female
Too Little,no,no,Australia,50,female
Too Little,no,no,Australia,40,male
Too Little,yes,no,Australia,43,male
Too Little,yes,no,Australia,28,female
Too Little,yes,no,Australia,38,female
Too Little,no,no,Australia,27,male
Too Little,yes,no,Australia,23,female
Too Little,yes,no,Australia,33,male
About Right,yes,no,Australia,36,male
Too Little,yes,no,Australia,37,male
Too Little,yes,no,Australia,23,male
Too Much,yes,no,Australia,67,male
Too Little,yes,no,Australia,32,male
Too Little,yes,no,Australia,24,female
Too Much,yes,no,Australia,23,male
Too Much,yes,no,Australia,69,male
Too Little,no,no,Australia,50,male
Too Little,yes,no,Australia,68,female
About Right,yes,no,Australia,74,male
Too Little,yes,no,Australia,69,male
Too Little,yes,no,Australia,37,female
Too Little,no,no,Australia,28,female
Too Much,yes,no,Australia,66,male
About Right,no,no,Australia,40,male
Too Much,yes,no,Australia,33,female
Too Little,no,no,Australia,44,female
Too Little,yes,no,Australia,61,male
Too Much,yes,no,Australia,19,female
Too Much,yes,no,Australia,57,female
Too Much,yes,no,Australia,51,female
Too Little,yes,yes,Australia,41,female
About Right,yes,yes,Australia,49,male
Too Little,yes,no,Australia,18,female
About Right,yes,yes,Australia,33,male
Too Little,yes,yes,Australia,29,female
About Right,yes,no,Australia,56,male
Too Little,yes,no,Australia,50,female
Too Much,yes,no,Australia,43,female
Too Much,no,yes,Australia,31,male
About Right,yes,no,Australia,51,female
Too Little,yes,no,Australia,19,female
Too Little,yes,no,Australia,28,female
About Right,no,no,Australia,47,female
About Right,yes,no,Australia,34,male
Too Much,no,no,Australia,46,male
Too Much,yes,no,Australia,35,female
Too Much,yes,no,Australia,27,female
Too Much,yes,no,Australia,54,male
About Right,yes,no,Australia,25,male
About Right,yes,no,Australia,20,male
Too Little,yes,no,Australia,52,female
Too Much,yes,no,Australia,36,male
Too Little,yes,no,Australia,30,female
Too Little,yes,no,Australia,30,female
Too Little,yes,no,Australia,27,male
Too Little,yes,no,Australia,30,male
Too Little,yes,no,Australia,37,female
Too Little,no,no,Australia,37,male
Too Little,yes,no,Australia,29,female
Too Little,yes,no,Australia,23,female
Too Little,yes,no,Australia,74,female
About Right,yes,no,Australia,36,female
About Right,yes,no,Australia,41,male
About Right,no,no,Australia,31,female
Too Much,yes,no,Australia,67,female
Too Little,yes,no,Australia,80,female
Too Little,yes,no,Australia,25,male
Too Much,no,no,Australia,55,male
Too Little,yes,no,Australia,40,female
Too Little,yes,no,Australia,61,female
About Right,no,no,Australia,41,male
Too Much,yes,no,Australia,37,female
Too Little,yes,no,Australia,30,female
Too Little,yes,no,Australia,67,male
About Right,no,no,Australia,39,male
Too Little,no,no,Australia,73,male
Too Little,yes,no,Australia,49,female
Too Little,no,no,Australia,38,female
Too Little,yes,no,Australia,25,male
About Right,yes,no,Australia,35,female
Too Little,yes,no,Australia,42,female
About Right,yes,no,Australia,46,female
Too Little,yes,no,Australia,76,female
About Right,yes,no,Australia,69,male
Too Much,yes,no,Australia,73,female
About Right,no,no,Australia,46,male
Too Much,yes,no,Australia,59,male
About Right,yes,no,Australia,37,female
Too Little,no,yes,Australia,20,female
Too Little,yes,no,Australia,63,female
About Right,yes,no,Australia,22,female
Too Little,yes,no,Australia,76,male
About Right,yes,no,Australia,32,female
About Right,yes,no,Australia,36,female
Too Little,yes,no,Australia,19,female
Too Little,yes,no,Australia,31,female
About Right,yes,no,Australia,86,male
Too Little,yes,no,Australia,52,male
Too Little,yes,no,Australia,34,female
Too Little,yes,no,Australia,39,female
Too Little,yes,no,Australia,76,female
About Right,no,no,Australia,69,male
Too Much,yes,no,Australia,76,female
Too Much,yes,no,Australia,85,male
Too Little,yes,no,Australia,68,female
About Right,yes,no,Australia,72,male
Too Little,yes,no,Australia,82,female
About Right,yes,no,Australia,27,female
About Right,yes,no,Australia,49,female
Too Little,no,no,Australia,56,male
About Right,yes,no,Australia,47,female
About Right,no,no,Australia,48,male
About Right,yes,no,Australia,31,female
Too Little,yes,no,Australia,22,female
Too Much,yes,no,Australia,28,male
Too Little,no,no,Australia,33,male
About Right,yes,no,Australia,25,male
About Right,yes,yes,Australia,21,male
About Right,yes,yes,Australia,32,male
Too Little,yes,yes,Australia,22,female
About Right,yes,no,Australia,39,male
Too Much,yes,no,Australia,44,female
About Right,no,no,Australia,23,male
Too Much,yes,no,Australia,35,female
About Right,yes,no,Australia,40,male
About Right,yes,no,Australia,34,female
Too Little,yes,no,Australia,30,male
Too Much,yes,no,Australia,71,female
Too Little,yes,no,Australia,37,male
Too Little,yes,no,Australia,32,female
Too Little,yes,no,Australia,24,female
Too Little,yes,no,Australia,22,male
Too Little,yes,no,Australia,32,male
Too Little,yes,no,Australia,24,female
Too Much,yes,no,Australia,50,female
About Right,yes,no,Australia,42,female
Too Little,yes,no,Australia,44,female
Too Much,no,no,Australia,48,female
Too Little,no,no,Australia,32,male
About Right,no,no,Australia,55,male
Too Little,yes,no,Australia,34,female
Too Little,no,no,Australia,24,male
Too Little,yes,no,Australia,26,female
Too Little,no,no,Australia,38,male
Too Little,yes,no,Australia,67,female
About Right,yes,no,Australia,76,female
Too Little,yes,no,Australia,41,male
About Right,yes,no,Australia,33,female
Too Little,yes,no,Australia,41,male
Too Little,yes,no,Australia,45,female
Too Little,yes,no,Australia,23,male
Too Little,yes,no,Australia,25,male
Too Much,yes,no,Australia,60,female
Too Little,yes,no,Australia,59,male
Too Little,yes,no,Australia,72,female
About Right,yes,no,Australia,58,male
Too Little,yes,no,Australia,41,male
About Right,yes,no,Australia,79,female
About Right,yes,no,Australia,41,female
Too Little,yes,no,Australia,56,male
Too Little,yes,no,Australia,56,female
About Right,yes,no,Australia,51,female
Too Little,yes,no,Australia,50,female
About Right,yes,no,Australia,39,male
About Right,yes,no,Australia,53,male
Too Little,yes,no,Australia,30,male
Too Little,yes,no,Australia,43,female
About Right,yes,no,Australia,80,female
About Right,yes,no,Australia,31,female
About Right,no,no,Australia,21,male
Too Little,yes,no,Australia,34,female
About Right,no,no,Australia,60,male
Too Little,no,no,Australia,42,female
About Right,no,no,Australia,69,male
About Right,yes,no,Australia,81,male
About Right,no,no,Australia,31,female
Too Little,yes,no,Australia,31,female
Too Much,yes,no,Australia,76,male
Too Much,no,no,Australia,37,female
Too Much,yes,yes,Australia,75,female
Too Much,yes,no,Australia,42,female
About Right,yes,no,Australia,73,female
Too Little,yes,no,Australia,82,female
Too Little,yes,no,Australia,51,female
Too Little,yes,no,Australia,52,male
Too Little,yes,no,Australia,33,male
Too Little,yes,no,Australia,55,female
Too Little,yes,no,Australia,22,male
Too Little,yes,no,Australia,66,male
Too Little,yes,yes,Australia,31,male
Too Little,yes,no,Australia,24,male
About Right,no,no,Australia,67,male
Too Much,no,no,Australia,45,female
Too Little,no,no,Australia,20,female
Too Much,no,no,Australia,65,female
Too Little,yes,no,Australia,21,female
Too Little,yes,no,Australia,23,male
Too Little,yes,no,Australia,31,female
Too Little,no,no,Australia,30,female
About Right,yes,no,Australia,39,female
Too Little,yes,no,Australia,25,female
Too Much,yes,no,Australia,48,male
Too Little,yes,no,Australia,69,male
Too Little,yes,no,Australia,51,male
About Right,yes,no,Australia,47,female
Too Little,yes,no,Australia,25,female
Too Little,yes,no,Australia,63,male
About Right,yes,no,Australia,50,female
Too Much,no,no,Australia,33,male
Too Little,yes,no,Australia,33,female
Too Little,no,no,Australia,26,male
About Right,no,no,Australia,26,female
Too Much,yes,no,Australia,53,male
Too Much,yes,no,Australia,40,male
Too Little,yes,no,Australia,19,female
Too Much,yes,no,Australia,45,male
Too Little,yes,no,Australia,54,female
About Right,no,no,Australia,41,male
About Right,yes,no,Australia,49,male
Too Little,yes,no,Australia,63,female
Too Much,yes,no,Australia,38,female
Too Little,yes,no,Australia,28,female
Too Little,yes,no,Australia,55,male
Too Little,yes,no,Australia,36,female
Too Little,yes,no,Australia,51,male
About Right,yes,no,Australia,79,female
Too Little,no,no,Australia,53,female
About Right,no,no,Australia,58,male
Too Little,yes,no,Australia,31,male
About Right,no,no,Australia,62,female
Too Much,yes,no,Australia,70,female
About Right,yes,no,Australia,42,male
Too Little,no,no,Australia,47,female
About Right,no,yes,Australia,60,male
About Right,yes,no,Australia,64,male
Too Little,yes,no,Australia,43,female
Too Little,yes,no,Australia,73,female
Too Much,no,no,Australia,39,male
Too Little,no,no,Australia,45,male
About Right,no,no,Australia,23,male
About Right,no,no,Australia,81,female
Too Little,yes,no,Australia,37,female
Too Little,yes,no,Australia,66,male
Too Little,yes,no,Australia,29,female
About Right,no,no,Australia,72,male
About Right,yes,no,Australia,24,female
About Right,yes,no,Australia,27,male
About Right,no,no,Australia,68,male
Too Little,yes,no,Australia,30,male
Too Much,yes,no,Australia,31,female
Too Little,yes,no,Australia,35,male
Too Little,yes,no,Australia,21,female
Too Much,yes,no,Australia,28,male
Too Little,yes,no,Australia,35,female
Too Much,yes,no,Australia,37,male
Too Much,yes,no,Australia,51,male
Too Little,no,yes,Australia,39,male
About Right,yes,no,Australia,30,male
About Right,no,yes,Australia,48,female
Too Little,yes,yes,Australia,29,male
About Right,no,yes,Australia,26,male
Too Little,yes,no,Australia,35,male
Too Little,yes,yes,Australia,21,male
About Right,yes,no,Australia,71,female
About Right,yes,no,Australia,76,male
Too Much,yes,no,Australia,43,female
Too Little,yes,no,Australia,26,male
Too Little,yes,no,Australia,50,male
Too Little,yes,no,Australia,73,female
Too Much,yes,no,Australia,55,male
About Right,yes,no,Australia,31,female
Too Little,yes,no,Australia,29,female
Too Much,yes,no,Australia,22,female
Too Much,yes,no,Australia,67,female
About Right,yes,no,Australia,45,female
Too Much,yes,no,Australia,30,female
Too Little,yes,no,Australia,53,female
Too Little,yes,no,Australia,22,female
Too Little,yes,no,Australia,23,male
About Right,yes,no,Australia,32,male
Too Little,yes,no,Australia,67,male
About Right,yes,no,Australia,82,male
Too Little,no,no,Australia,69,male
Too Little,no,no,Australia,31,male
Too Little,yes,no,Australia,32,female
Too Much,yes,no,Australia,67,male
Too Little,no,no,Australia,25,male
Too Little,yes,no,Australia,50,female
Too Much,yes,no,Australia,65,male
Too Little,yes,no,Australia,50,male
Too Little,no,no,Australia,23,male
About Right,yes,no,Australia,46,male
Too Little,yes,no,Australia,42,female
About Right,yes,no,Australia,31,male
Too Little,no,no,Australia,52,male
Too Little,yes,no,Australia,31,male
About Right,yes,no,Australia,26,female
About Right,yes,no,Australia,58,female
About Right,no,no,Australia,34,female
About Right,no,no,Australia,18,female
Too Little,yes,no,Australia,51,male
About Right,yes,no,Australia,44,male
About Right,yes,no,Australia,56,female
Too Little,yes,no,Australia,59,female
Too Little,no,no,Australia,40,female
Too Much,yes,no,Australia,68,female
Too Little,yes,no,Australia,68,female
About Right,yes,no,Australia,69,male
Too Little,no,no,Australia,19,female
About Right,no,no,Australia,35,male
About Right,yes,no,Australia,55,female
About Right,yes,no,Australia,24,male
About Right,yes,no,Australia,38,male
About Right,yes,no,Australia,50,male
Too Little,yes,no,Australia,66,female
Too Much,yes,no,Australia,43,female
Too Little,yes,no,Australia,44,female
Too Little,no,yes,Australia,39,male
About Right,no,yes,Australia,34,female
Too Little,no,no,Australia,40,male
Too Little,yes,no,Australia,32,female
Too Little,no,no,Australia,33,female
Too Little,yes,no,Australia,56,male
Too Little,yes,no,Australia,40,female
Too Little,yes,no,Australia,40,female
About Right,yes,no,Australia,39,male
About Right,yes,no,Australia,37,male
About Right,yes,no,Australia,27,female
About Right,yes,no,Australia,61,female
Too Much,yes,no,Australia,40,female
Too Much,no,yes,Australia,61,male
Too Little,yes,no,Australia,57,male
Too Little,yes,no,Australia,23,female
Too Much,yes,no,Australia,77,male
About Right,yes,no,Australia,48,male
About Right,no,no,Australia,40,female
Too Little,yes,no,Australia,47,female
Too Little,yes,no,Australia,25,female
Too Little,yes,no,Australia,63,female
Too Little,no,no,Australia,28,female
Too Little,yes,no,Australia,84,male
Too Little,no,no,Australia,28,male
Too Little,yes,no,Australia,80,female
Too Little,no,no,Australia,21,male
Too Little,yes,no,Australia,42,female
Too Little,no,no,Australia,21,male
Too Little,yes,no,Australia,37,male
About Right,yes,no,Australia,21,male
Too Little,yes,no,Australia,47,female
About Right,yes,no,Australia,39,female
Too Much,yes,no,Australia,44,female
About Right,yes,no,Australia,37,male
Too Much,yes,no,Australia,37,female
Too Much,yes,no,Australia,39,female
Too Little,yes,no,Australia,43,female
Too Little,yes,yes,Australia,48,female
Too Little,yes,no,Australia,57,male
Too Little,yes,no,Australia,25,female
Too Little,yes,yes,Australia,19,female
Too Little,yes,no,Australia,58,male
Too Little,no,no,Australia,50,female
Too Little,yes,no,Australia,34,male
Too Little,yes,no,Australia,35,male
Too Little,yes,no,Australia,22,female
About Right,yes,no,Australia,64,female
About Right,yes,no,Australia,40,male
Too Much,yes,no,Australia,36,female
About Right,yes,no,Australia,46,male
About Right,no,no,Australia,53,male
Too Little,yes,no,Australia,64,male
About Right,yes,no,Australia,67,female
About Right,no,yes,Australia,49,male
About Right,no,no,Australia,38,female
Too Little,yes,no,Australia,33,male
Too Much,yes,no,Australia,54,female
Too Little,no,no,Australia,25,female
Too Little,yes,no,Australia,29,female
About Right,yes,no,Australia,82,female
Too Little,yes,no,Australia,26,male
Too Little,yes,no,Australia,73,female
About Right,yes,no,Australia,29,male
Too Little,yes,yes,Australia,37,female
About Right,yes,no,Australia,71,female
Too Little,yes,no,Australia,89,male
About Right,no,no,Australia,39,male
Too Little,yes,no,Australia,28,female
About Right,yes,no,Australia,37,female
About Right,no,no,Australia,46,female
Too Little,yes,no,Australia,53,male
Too Little,yes,no,Australia,35,female
About Right,yes,no,Australia,44,male
Too Little,yes,no,Australia,35,female
Too Little,yes,no,Australia,34,male
About Right,no,no,Australia,61,female
Too Little,no,no,Australia,48,male
Too Little,yes,no,Australia,41,female
Too Little,yes,no,Australia,46,male
Too Little,yes,no,Australia,63,male
Too Little,yes,no,Australia,57,male
About Right,yes,no,Australia,35,male
About Right,yes,no,Australia,20,male
Too Little,yes,no,Australia,46,male
Too Little,no,no,Australia,20,male
Too Much,no,no,Australia,29,female
Too Little,yes,no,Australia,35,female
About Right,no,no,Australia,18,male
Too Little,yes,no,Australia,51,male
About Right,no,no,Australia,22,female
Too Little,yes,no,Australia,70,male
About Right,yes,no,Australia,28,male
Too Little,yes,no,Australia,58,female
About Right,yes,no,Australia,42,male
Too Little,yes,no,Australia,71,female
Too Much,yes,no,Australia,74,male
About Right,yes,no,Australia,33,female
About Right,yes,no,Australia,80,female
Too Little,yes,no,Australia,66,female
Too Little,yes,no,Australia,66,male
About Right,yes,no,Australia,43,female
About Right,yes,no,Australia,28,female
Too Little,no,no,Australia,83,male
About Right,yes,no,Australia,79,female
Too Little,no,no,Australia,65,female
Too Little,yes,no,Australia,30,female
Too Little,yes,no,Australia,46,male
Too Little,no,no,Australia,36,male
Too Little,no,no,Australia,30,female
Too Little,yes,no,Australia,34,female
Too Little,yes,no,Australia,40,female
Too Little,yes,no,Australia,31,female
Too Little,yes,no,Australia,26,male
Too Little,yes,no,Australia,56,female
About Right,yes,no,Australia,40,male
Too Much,yes,no,Australia,45,female
About Right,yes,no,Australia,41,male
About Right,yes,no,Australia,54,female
Too Little,yes,no,Australia,26,male
Too Little,yes,no,Australia,32,female
Too Little,no,no,Australia,54,female
Too Little,yes,no,Australia,58,female
Too Little,no,yes,Australia,30,female
Too Little,no,no,Australia,59,male
Too Little,yes,no,Australia,21,female
Too Little,yes,no,Australia,23,male
